"4156","WNL09","5428","WENDT LABS","DIN OWNER","Y","N","N","N","","800 MAIN STREET","WINNIPEG","MANITOBA","CANADA","R2W 3R4","3506"
"274","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7143","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"70966","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"70967","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"69819","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7141","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"12933","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"3406","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"3870","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"234","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"12210","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"13009","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7144","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7296","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"2473","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"5191","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"6403","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"1143","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"15808","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"9020","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"232","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7298","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"13585","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"7146","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"16465","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"16174","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"13584","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"1386","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"11003","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"1388","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"9254","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"18636","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"595","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"14402","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"5555","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"3404","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"5692","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"2226","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"76096","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"75694","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"76077","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"12874","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"76875","","8460","BIMEDA-MTC ANIMAL HEALTH INC.","DIN OWNER","Y","Y","Y","N","","420 BEAVERDALE RD.","CAMBRIDGE","ONTARIO","CANADA","N3C 2W4",""
"19742","","8477","PEPTECH ANIMAL HEALTH PTY LTD.","DIN OWNER","Y","N","N","N","","19-25 KHARTOUM RD","MACQUARIE PARK, NSW",".","AUSTRALIA","2113",""
"66963","BRU95","5657","BRULIN & COMPANY INC.","DIN OWNER","Y","Y","Y","N","","2920 DR ANDREW J BROWN AVENUE","INDIANAPOLIS","INDIANA","UNITED STATES","46206","270"
"77223","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"80621","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"79566","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"80620","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"75948","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"80396","BEL08","5602","BELVEDERE INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","5675 KEATON CRESCENT","MISSISSAUGA","ONTARIO","CANADA","L5R 3G3",""
"18713","ZII08","5478","MULTI-BLEND LTD.","DIN OWNER","Y","Y","Y","N","","2720 SLOUGH STREET","MISSISSAUGA","ONTARIO","CANADA","L4T 1G3",""
"18714","ZII08","5478","MULTI-BLEND LTD.","DIN OWNER","Y","Y","Y","N","","2720 SLOUGH STREET","MISSISSAUGA","ONTARIO","CANADA","L4T 1G3",""
"70599","ZII08","5478","MULTI-BLEND LTD.","DIN OWNER","Y","Y","Y","N","","2720 SLOUGH STREET","MISSISSAUGA","ONTARIO","CANADA","L4T 1G3",""
"13479","CRI08","3962","CLASSICAL REMEDIA LTD","DIN OWNER","Y","Y","Y","N","","412 DUNDAS STREET WEST","TORONTO","ONTARIO","CANADA","M5T 1G7",""
"8478","PAE07","3722","PARALL LTÉE","DIN OWNER","Y","Y","Y","N","","2970 BERGMAN","LAVAL","QUEBEC","CANADA","H7L 3P4",""
"6263","PAE07","3722","PARALL LTÉE","DIN OWNER","Y","Y","Y","N","","2970 BERGMAN","LAVAL","QUEBEC","CANADA","H7L 3P4",""
"14368","PAE07","3722","PARALL LTÉE","DIN OWNER","Y","Y","Y","N","","2970 BERGMAN","LAVAL","QUEBEC","CANADA","H7L 3P4",""
"2196","PAE07","3722","PARALL LTÉE","DIN OWNER","Y","Y","Y","N","","2970 BERGMAN","LAVAL","QUEBEC","CANADA","H7L 3P4",""
"77180","PAE07","3722","PARALL LTÉE","DIN OWNER","Y","Y","Y","N","","2970 BERGMAN","LAVAL","QUEBEC","CANADA","H7L 3P4",""
"61020","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"68144","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"68184","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"70836","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"77870","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"77871","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"82781","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"81863","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"76811","","8525","MAXILL INC.","DIN OWNER","Y","N","Y","N","","80 ELM STREET","ST.THOMAS","ONTARIO","CANADA","N5R 6C8",""
"10602","SGQ07","5108","LABORATOIRES STERIGEN INC.","DIN OWNER","Y","Y","Y","N","","242 ST-CYRILLE OUEST","UPTON","QUEBEC","CANADA","J0H 2E0",""
"78106","SGQ07","5108","LABORATOIRES STERIGEN INC.","DIN OWNER","Y","Y","Y","N","","242 ST-CYRILLE OUEST","UPTON","QUEBEC","CANADA","J0H 2E0",""
"81202","SGQ07","5108","LABORATOIRES STERIGEN INC.","DIN OWNER","Y","Y","Y","N","","242 ST-CYRILLE OUEST","UPTON","QUEBEC","CANADA","J0H 2E0",""
"83498","SGQ07","5108","LABORATOIRES STERIGEN INC.","DIN OWNER","Y","Y","Y","N","","242 ST-CYRILLE OUEST","UPTON","QUEBEC","CANADA","J0H 2E0",""
"83557","SGQ07","5108","LABORATOIRES STERIGEN INC.","DIN OWNER","Y","Y","Y","N","","242 ST-CYRILLE OUEST","UPTON","QUEBEC","CANADA","J0H 2E0",""
"13104","GLE08","4256","GLENWOOD LABORATORIES CANADA LTD.","DIN OWNER","Y","Y","Y","N","","2392 SPEERS ROAD","OAKVILLE","ONTARIO","CANADA","L6L 5M2",""
"13112","GLE08","4256","GLENWOOD LABORATORIES CANADA LTD.","DIN OWNER","Y","Y","Y","N","","2392 SPEERS ROAD","OAKVILLE","ONTARIO","CANADA","L6L 5M2",""
"20265","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"20266","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"20267","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"20268","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"5480","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"19364","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"78400","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"74326","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"76444","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"76446","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"80754","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"75225","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"80737","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"80738","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"84735","DSB08","4082","DUSTBANE PRODUCTS LTD.","DIN OWNER","Y","Y","Y","N","","25 PICKERING PLACE","OTTAWA","ONTARIO","CANADA","K1G 5P4",""
"50417","MIV10","4611","MEDIVET PHARMACEUTICALS LTD.","DIN OWNER","Y","Y","Y","N","4","55-9TH AVENUE S.E.","HIGH RIVER","ALBERTA","CANADA","T1V 1E6",""
"50418","MIV10","4611","MEDIVET PHARMACEUTICALS LTD.","DIN OWNER","Y","Y","Y","N","4","55-9TH AVENUE S.E.","HIGH RIVER","ALBERTA","CANADA","T1V 1E6",""
"50488","MIV10","4611","MEDIVET PHARMACEUTICALS LTD.","DIN OWNER","Y","Y","Y","N","4","55-9TH AVENUE S.E.","HIGH RIVER","ALBERTA","CANADA","T1V 1E6",""
"13830","SWU08","5226","STOCK-WELL SUPPLY","DIN OWNER","Y","Y","N","N","","5370 TIMBERLEA BLVD","MISSISSAUGA","ONTARIO","CANADA","L4W 2S6",""
"13705","SWU08","5226","STOCK-WELL SUPPLY","DIN OWNER","Y","Y","N","N","","5370 TIMBERLEA BLVD","MISSISSAUGA","ONTARIO","CANADA","L4W 2S6",""
"17241","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"17242","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"17243","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"80976","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"76639","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"80532","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"83379","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"84650","SYI07","5232","PRODUITS SANY INC.","DIN OWNER","Y","Y","Y","N","","540 BOUL. DE L'INDUSTRIE","JOLIETTE","QUEBEC","CANADA","J6E 8V3",""
"80809","SNT07","5164","SANTÉ NATURELLE (AG) LTÉE","DIN OWNER","Y","Y","Y","N","","369 RUE CHARLES-PEGUY","LA PRAIRIE","QUEBEC","CANADA","J5R 3E8",""
"72295","","7255","CERTIFIED LAB PRODUCTS, DIVISION OF NCH CANADA INC.","DIN OWNER","Y","Y","Y","N","","239 ORENDA ROAD","BRAMPTON","ONTARIO","CANADA","L6T 1E7",""
"80216","","7274","SPARTAN CHEMICAL COMPANY, INC.","DIN OWNER","Y","Y","Y","N","","1110 SPARTAN DRIVE","MAUMEE","OHIO","UNITED STATES","43537",""
"84056","","7274","SPARTAN CHEMICAL COMPANY, INC.","DIN OWNER","Y","Y","Y","N","","1110 SPARTAN DRIVE","MAUMEE","OHIO","UNITED STATES","43537",""
"84357","","7274","SPARTAN CHEMICAL COMPANY, INC.","DIN OWNER","Y","Y","Y","N","","1110 SPARTAN DRIVE","MAUMEE","OHIO","UNITED STATES","43537",""
"85798","","7274","SPARTAN CHEMICAL COMPANY, INC.","DIN OWNER","Y","Y","Y","N","","1110 SPARTAN DRIVE","MAUMEE","OHIO","UNITED STATES","43537",""
"50153","","7276","OPTIKEM INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","2172 SOUTH JASON ST.","DENVER","COLORADO","UNITED STATES","80223",""
"50154","","7276","OPTIKEM INTERNATIONAL INC.","DIN OWNER","Y","Y","Y","N","","2172 SOUTH JASON ST.","DENVER","COLORADO","UNITED STATES","80223",""
"50235","","7283","MAGGAS MEDICAL INC.","DIN OWNER","Y","Y","Y","N","","154 NORFINCH DRIVE, SUITE 1","TORONTO","ONTARIO","CANADA","M3N 1X6",""
